id,opt,code,nfeval,min,elapsed
Ai,LN_SBPLX,FTOL_REACHED,231,725.9676890962378,0.015553695
Aj,LN_BOBYQA,FTOL_REACHED,31,47.27946035812397,0.000987053
Aj,LN_COBYLA,FTOL_REACHED,53,47.279460358157124,0.001372219
Aj,LN_NELDERMEAD,FTOL_REACHED,63,47.27946035848595,0.001556014
Aj,LN_PRAXIS,FTOL_REACHED,82,47.27946036222593,0.002094617
Aj,LN_SBPLX,FTOL_REACHED,90,47.279460358760275,0.002197266
Ak,LN_BOBYQA,FTOL_REACHED,33,456.8639438768996,0.000883459
Ak,LN_COBYLA,FTOL_REACHED,54,456.8639438702969,0.001223787
Ak,LN_NELDERMEAD,FTOL_REACHED,69,456.86394388000673,0.001417972
Ak,LN_PRAXIS,FTOL_REACHED,110,456.8639438577471,0.002241682
Ak,LN_SBPLX,FTOL_REACHED,104,456.86394387102825,0.002122719
Al,LN_BOBYQA,FTOL_REACHED,89,-24889.12024268261,0.377651483
Al,LN_COBYLA,FTOL_REACHED,694,-24889.120242682242,2.750763953
Al,LN_NELDERMEAD,FTOL_REACHED,179,-24889.1202426672,0.7335896
Al,LN_PRAXIS,FTOL_REACHED,99,-24889.120242682595,0.406086339
Al,LN_SBPLX,FTOL_REACHED,211,-24889.120242677796,0.851587607
Am,LN_BOBYQA,FTOL_REACHED,13,-119.10816627064237,0.000341698
Am,LN_COBYLA,FTOL_REACHED,27,-119.1081662705834,0.000497722
Am,LN_NELDERMEAD,FTOL_REACHED,33,-119.10816626915886,0.000569222
Am,LN_PRAXIS,MAXEVAL_REACHED,100000,-119.10816627064249,1.487044659
Am,LN_SBPLX,FTOL_REACHED,53,-119.10816627058351,0.000879118
An,LN_BOBYQA,FTOL_REACHED,513,7926.675433139892,0.175213839
An,LN_COBYLA,FTOL_REACHED,1279,7927.570925310958,0.32753814
An,LN_NELDERMEAD,FTOL_REACHED,44466,7927.498349756185,10.280076165
An,LN_PRAXIS,FTOL_REACHED,1984,7926.844201372002,0.465445909
An,LN_SBPLX,FTOL_REACHED,2384,7927.497387118333,0.544270514
Ao,LN_BOBYQA,FTOL_REACHED,14,246.5736139715645,0.000325361
Ao,LN_COBYLA,FTOL_REACHED,28,246.57361397156515,0.000470955
Ao,LN_NELDERMEAD,FTOL_REACHED,33,246.5736139801246,0.000509314
Ao,LN_PRAXIS,MAXEVAL_REACHED,100000,246.5736139715643,1.37155142
Ao,LN_SBPLX,FTOL_REACHED,53,246.57361397156515,0.000813945
Ap,LN_BOBYQA,FTOL_REACHED,147,22373.10663583558,0.062697649
Ap,LN_COBYLA,FTOL_REACHED,19166,22373.106637375222,8.023609751
Ap,LN_NELDERMEAD,FTOL_REACHED,149,22373.106635832897,0.067520335
Ap,LN_PRAXIS,FTOL_REACHED,148,22373.106635827324,0.064600675
Ap,LN_SBPLX,FTOL_REACHED,516,22373.106635838343,0.21381437
Aq,LN_BOBYQA,FTOL_REACHED,31,16744.680673166113,0.004895773
Aq,LN_COBYLA,FTOL_REACHED,70,16744.680673153605,0.01128263
Aq,LN_NELDERMEAD,FTOL_REACHED,78,16744.680673164385,0.012069548
Aq,LN_PRAXIS,FTOL_REACHED,85,16744.680673152398,0.012497814
Aq,LN_SBPLX,FTOL_REACHED,130,16744.680673154406,0.019244085
Ar,LN_BOBYQA,FTOL_REACHED,40,-260.6283232479739,0.001396202
Ar,LN_COBYLA,FTOL_REACHED,344,-260.6283231632391,0.009257886
Ar,LN_NELDERMEAD,FTOL_REACHED,44,-257.4090478820706,0.001315629
Ar,LN_PRAXIS,FTOL_REACHED,121,-260.62832325118416,0.003257472
Ar,LN_SBPLX,FTOL_REACHED,119,-260.6283232503671,0.003166041
As,LN_BOBYQA,FTOL_REACHED,16,45.589291257859685,0.000408709
As,LN_COBYLA,FTOL_REACHED,26,45.58929125789325,0.000468271
As,LN_NELDERMEAD,FTOL_REACHED,30,45.58929126620798,0.000458442
As,LN_PRAXIS,MAXEVAL_REACHED,100000,45.58929125785551,1.357973033
As,LN_SBPLX,FTOL_REACHED,50,45.58929125789325,0.00079856
At,LN_BOBYQA,FTOL_REACHED,27,-196.74561452251507,0.001008163
At,LN_COBYLA,FTOL_REACHED,49,-196.74561452244114,0.001569065
At,LN_NELDERMEAD,FTOL_REACHED,70,-196.74561451390232,0.00209449
At,LN_PRAXIS,FTOL_REACHED,49,-196.74561452251658,0.001479986
At,LN_SBPLX,FTOL_REACHED,122,-196.74561452248906,0.003555932
Au,LN_BOBYQA,FTOL_REACHED,47,787.7542476908332,0.003527583
Au,LN_COBYLA,FTOL_REACHED,94,787.7542476908039,0.006552989
Au,LN_NELDERMEAD,FTOL_REACHED,108,787.7542476985299,0.007543797
Au,LN_PRAXIS,FTOL_REACHED,95,787.7542476907787,0.006838639
Au,LN_SBPLX,FTOL_REACHED,151,787.7542477329455,0.010449738
Av,LN_BOBYQA,FTOL_REACHED,17,115.73199060307343,0.000426596
Av,LN_COBYLA,FTOL_REACHED,26,115.73199060351101,0.00048914
Av,LN_NELDERMEAD,FTOL_REACHED,30,115.7319906049067,0.000494045
Av,LN_PRAXIS,MAXEVAL_REACHED,99993,115.7319906030715,1.388949638
Av,LN_SBPLX,FTOL_REACHED,45,115.7319906049067,0.000715434
Aw,LN_BOBYQA,FTOL_REACHED,17,115.73597532122605,0.000367765
Aw,LN_COBYLA,FTOL_REACHED,21,115.73597532459604,0.000410234
Aw,LN_NELDERMEAD,FTOL_REACHED,30,115.73597532459604,0.000475875
Aw,LN_PRAXIS,MAXEVAL_REACHED,99993,115.73597532122628,1.408073755
Aw,LN_SBPLX,FTOL_REACHED,45,115.73597532459604,0.000734544
